file_hash,decompiled_file_name,raw_file_name,d_lookup_vs_decompiled,d_lookup_vs_repaired
02c403a767bc73fa383e225b7d6eb521ada8efa2c73734db90b2e4446503e29dcb2850bf19b184d76ac95e3886f9a66310a5a7a7d610fd14cd39a8b04c9458d0,decompiled_get_disk.cpython-312.py,get_disk.py,803,638
028027f194d4af1798cfe1fd295ce231e05fd348ebb5c62456098ee5432159c3b44e595d927f570e23946c2fc6080fe43cda82310f3133fb593e0389f0cc5a52,decompiled_no_tears.cpython-312.py,no_tears.py,867,1093
00e6dac93bc153403541045d71c81637c21b5db4da47721343096e04e4d912ec8384a0311696fe787966acd75b9c7a6813182096c724de76d5aa364e5ff81a91,decompiled_run_config_utils.cpython-312.py,run_config_utils.py,1164,2062
009cb330b0999c2a5ef507b06b952e7c36f21da0fba88ace2bc6e8dc0276a0fdb05977963572d1626bbf7afca10d691cb8d147a447c18369dacaaeee12f5df6b,decompiled_node_cpu_analyzer.cpython-312.py,node_cpu_analyzer.py,130,90
0240df9bddd21bf2aa1c5eaf5ef52097eaabf4c4833f4a08d246249c34cc098e9dc030199346cd7773cb3cf32253994711ace4348cb8313290d2b42e170feda5,decompiled_audio_utils.cpython-312.py,audio_utils.py,120,252
02ef3e50ae61216135f12e1e34659990989c790315eb0b81362d1572851708e52bee2aafc9bbcc811f3e967f242fd024a0dc7fb18a66116cad5f28e520743a9e,decompiled_config_helper.cpython-312.py,config_helper.py,45,54
00f99c52c2ac3a4fbff532cbb3d96c891ea3df1dcb8527d7fcd96627aedcf802aa00e4589f2d606ad89ccbf99573e991cda7487cdbcba077fbe06102f1081409,decompiled_cloud_cost_allocator.cpython-312.py,cloud_cost_allocator.py,272,168
000f936110e4ab1b91d3ac4dd3849cf2287ec0f39dc8080714fc22c71cd76bed788b6f172e0f8ef5c4ee674feb356229f80280c6a745e12c3887d6fce1c5f41c,decompiled_logistic_regression_classifier.cpython-312.py,logistic_regression_classifier.py,106,98
024de4b21a4dd360319d39ed295b6126bf6ebbdfecff4dc74360556d5e427b0d4ba13d7f990035f89381d648de2a64eef667241cdaa615f0acfd129d4e4c1e21,decompiled_global_address.cpython-312.py,global_address.py,728,617
02456522d61899c40d36b727d89185287498bd619fde8fc11ab380388157cbda5e7305640c10d632914c9f7a19cc725ee55d5dae7dbe47e2f50b7a5cfa3d1685,decompiled_L.cpython-312.py,L.py,92,39
00ceb28a258b40b3efe0bc5e6175fa2f8ac9dc0870b72c8391db760fcb08c1d9ad86994364ccda406d999728dcfceb5e66ec1ed5369eda8370e12bb7873a2cc9,decompiled_na_elementsw_initiators.cpython-312.py,na_elementsw_initiators.py,353,156
016ab140eb555a99135456a9af8b1de305c212898fc90a7f308d299c20dfb2de6d90157c0bef8462cacb1730345eb87f300f121f94611ee1a9c50523c9a68cdc,decompiled_test_resolve.cpython-312.py,test_resolve.py,303,304
00d75f5ff1d1bb3fb37e073961132fd083a4e360d588f28fefd495a8fb8ca0fa0e6a686c3b140c61c361e6398570f5203293cec93c7b6d0dfdd10ea48630cb47,decompiled_sdk.cpython-312.py,sdk.py,1285,1602
02c65df8515c4a061a044d617bf4e4442ab3e0b33f67bae9aabf88bbce1d3a3adbab0503a8dacc7069cdc419826e7ab786958ce9878941b0abd3548d2161041a,decompiled_protocol_loop.cpython-312.py,protocol_loop.py,397,460
02d9551b5d454c525add197179ba0bc989faebe9754ee42ecc2dbcf948e4d1f5a7afa845379236f02a171b09d583277d3a624b1b2696a00e2f863adbd445a45f,decompiled_logentries.cpython-312.py,logentries.py,184,208
02c2a6cedbc9c886fcb1d39e4e4d8231980214225a9dbfbdf89ef39f8768e0a77cdf27338dce1b5f2c56872ab5b2199115d7ed3dd5bfbb8cb7d25c4b62ba131f,decompiled_LogP.cpython-312.py,LogP.py,1896,11390
01fcc7c72d2a78a88ad18f25b5042f39c9542c6273ee93f2d99ea795b9f3f76225eb3cc2ee866fa39545b1367ca3993227be4f2aefd5fdb87cf5ac7d15e5d9ef,decompiled_log_viewer.cpython-312.py,log_viewer.py,218,54
02394b74a14ad8e8217e46b5026f9946ae8cb28894a66288fcd8627201d3416876d2d129b32074ab4d36f1efb2e836f4c34d2910508b744ace36f82f51bcfae9,decompiled_hubio.cpython-312.py,hubio.py,835,49524
0266ccaa14125ca5f0ced2da7f1fa84080b66885c00f51e00bd8b0c86d889b013b61a6d22ec946e531ec393118e8e081f279af8c86597f7b27db159f2899da0e,decompiled_points_sampler.cpython-312.py,points_sampler.py,114,859
01ee0df15be540b4b75d8b9a263ba7d951a3d90102c0409db00cede47b0073bd3939137b07694acf00e80fdbcb8ad8bfd4c80ef231233c86050380e34dd92152,decompiled_okta.cpython-312.py,okta.py,2737,3712
000d9fbfb6d6860a21c944ea474c64384f7724c96e88cffeb0e501dd7eb4d33f2a8f38c4f1c05f778a98714f079ffacde2b7dad22fa32ac31c06eae64c54da68,decompiled_test_import_merge_sync.cpython-312.py,test_import_merge_sync.py,1480,1469
01aae9edd439af0670ba65477cf72f6b63ea8faa69aa121e6968fae85e956f9a53a436090f5a1f6cc83058b282c8735d1d7cf7f9676c9cf9bf4262decdbbce02,decompiled_DamageVulnerability.cpython-312.py,DamageVulnerability.py,226,13
022b12eef6b2a8eeab59bc09802d4b54d74943155bd94dc3ce81297caa420294b1dae2146680fbd714ad50dd4d3ef50abb24fc0f9dfd7d94e0b4a5272a1ca753,decompiled_topic_topic_network_gui.cpython-312.py,topic_topic_network_gui.py,633,664
0187a405c6d095830e50dfc8c679d38c71f8171a78e668363b96024f4095c3ebd17f94c52a3b419c85c0793a8569b771fe470ac69bf6cb3fa7aed573839c5034,decompiled_DemoCentralWidget1.cpython-312.py,DemoCentralWidget1.py,10,10
00e38b7ad21d2e67f275b86905bbbaf514e9bd00508c191e6e5e4e39336cfa13ac7566d08a6747480e93593867ba7f1edb546847eee08269be6b042bf782d694,decompiled_Interp.cpython-312.py,Interp.py,175,147
017b551968a68ccd950b08e5ff62053c56beff094b0898e4855c251e5bcb6024c2d1a36193ae2a1f1faf8009cef764994640bc8e101f04d23f22b7b2b5d7decd,decompiled_basic_words.cpython-312.py,basic_words.py,7787,7787
00adce9caef767c6895c3504ee81ba2eefcb8a5f0aaa1c8451e484a32723141ee366436a9c20e5c1832b88695f9c584d5c307a48ba5057162b413d40d5c6633b,decompiled_filter_design.cpython-312.py,filter_design.py,18404,22803
015583cf949990a6d573d5295523342a7d73e7c2045515f99df3039b6508e6018a7e7241279153e28250bc8c4ca978e90b82cff920c46e2d45288e7cc4a99154,decompiled_virtual_network_gateway_connection.cpython-312.py,virtual_network_gateway_connection.py,3956,2838
0072a479ce71bc4280bda3d0c4eaf7bc7594076f53dcf988cca6fd9e194f748fe691fa4187701c022187ac3a88c3965971d6ccad67c6d37b95796d4429b23b53,decompiled_backend_pb2.cpython-312.py,backend_pb2.py,38668,30625
01cec3523daa82718cd5798ac2124db372c98cf4a1d750289d1d78a6b824041ff254ff080d7781e1126068c8f870edeb7d8d3551caed41adc4092fb59e12b111,decompiled_pattern.cpython-312.py,pattern.py,998,980
00a512d9a1368cc7559d9b5f5014e4a19eaa36d9fe6bb9b77595e76d1dd201445f3b4cf6d11ff025fcc8ed23d45156ce62e5227b9d79f28f07e11b135175a5bf,decompiled_dismantle.cpython-312.py,dismantle.py,416,408
01f964008e9fb4e95c019bc939b15a00be9741ff145ef114320ad323948a1624ff5bb42d4b4b507f92e3420d82105dfb618f54a9fdf0708cb4b38fa062fd7f90,decompiled_gmail.cpython-312.py,gmail.py,49,60
003436e6465bb0fa0e7395c9f5d4334b5b59357adfb7abe01f040bb2b2f3f4f0070c7548be656eddce9d2567e28a2e34d6503ff867ff9389c487453d0602f2ca,decompiled_apk.cpython-312.py,apk.py,297,293
0041c5c7cd584493cfc652de507ebe8e8379284fcbbb8b1365a9253bbc02da0f7e6ee0cdce8f59353ce956656e62bb93fb3230ede1c536917ef5f4d49b438093,decompiled_analyze-dataset-batches.cpython-312.py,analyze-dataset-batches.py,269,349
014c4f12be08b58ceea8fd8470cded1e5bf0e01ef47be03e22ed935354f838fcc0bcd0dbc642f8ac7d414493292290101ad40eb85cbf87e112702c52f7937a98,decompiled_events_tree.cpython-312.py,events_tree.py,606,178
01dd4ca9a4443f62c51f1fc37bb6862866e3514875a3ba8c7a0b9c81788937a7298cf4316b826458e1ba3288718ac8a53fa79d8af3a386677a3f3cbe3f787e79,decompiled_stratify_test.cpython-312.py,stratify_test.py,1271,1408
010ae871f45b84d0a7bf5224c1ac7d4906932c8478ff44f0f34d46693f17c9717e03610466f4370dc369c558d581d3a5fb7868ff5cf0e5723fd38331978a5a1c,decompiled_update_languages_request_v_next.cpython-312.py,update_languages_request_v_next.py,5592,5586
02eceb611797748b42097f7a1660af6a49bafb0eab7bc6e07d14f63530487922e03fbc92ae059116621b2bffefc537691c9acd24c2219eb4b450195758b14300,decompiled_test_ls_disk.cpython-312.py,test_ls_disk.py,365,101
0212e98177af9ec6a22c9d8d1d1a61c87a2f8c9c2315fa688e77a099d52dd7e817f16d1d34f836c4fa46f6a41bf2f6f1065176e8a0bf59bc57544007444eec22,decompiled_normalized_project_revision.cpython-312.py,normalized_project_revision.py,77522,28236
02bf6ed01dda9ed8a1b55e1c208de53f2419a8f1432011f4dde28d14423b99bab5aec8a2314f38465b8daaf4d8dbd1a1a8b16edb66babdff359d74e65bba727a,decompiled_missing.cpython-312.py,missing.py,1047,824
02054e3bb0872d89f342eeddc0e380c9793a4b09a23eba269df5e8811bc572159ddbf71616d94cb22b48edb7c76854bb2817257e2bbe76637205d7fe044acc88,decompiled_lineage.cpython-312.py,lineage.py,2111,2312
006a1f9f4b7a46f9e107f72c36ce70b5bb16173ab40d7950e588ac27aa7e568388d4b417bcab8b4318146e8dd20a15f6b494547fa71e9a93af6c49ba0443e738,decompiled_file_api.cpython-312.py,file_api.py,1955,1931
